,DailyTotalBrightSunshine_AllYear_url,DailyMeanPressure_AllYear_url,DailyMaximumTemperature_AllYear_url,DailyMeanTemperature_AllYear_url,DailyMinimumTemperature_AllYear_url,DailyGlobalSolarRadiation_AllYear_url,DailyTotalEvaporation_AllYear_url,DailyMeanAmountCloud_AllYear_url,DailyMaximumUVIndex_AllYear_url,DailyMeanUVIndex_AllYear_url,DailyMeanRelativeHumidity_AllYear_url,DailyMaximumHeatIndex_AllYear_url,DailyMeanHeatIndex_AllYear_url,DailyTotalRainfall_AllYear_url,DailyMeanWindSpeed_AllYear_url,DailyPrevailingWindDirection_AllYear_url,DailyMeanWetBulb_AllYear_url
Cheung Chau,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_PDIR_ALL.csv,
Clear Water Bay,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CWB_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CWB_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CWB_MINT_ALL.csv,,,,,,,,,,,,
Hong Kong International Airport,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_PDIR_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_WET_ALL.csv
Hong Kong Observatory,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MINT_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_CLD_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_RF_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_WET_ALL.csv
Hong Kong Park,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKP_MINT_ALL.csv,,,,,,,,,,,,
Wong Chuk Hang,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_RH_ALL.csv,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_PDIR_ALL.csv,
Happy Valley,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HPV_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HPV_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HPV_MINT_ALL.csv,,,,,,,,,,,,
Tseung Kwan O,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_PDIR_ALL.csv,
Kowloon City,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KLT_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KLT_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KLT_MINT_ALL.csv,,,,,,,,,,,,
King's Park,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_SUN_ALL.csv,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_MINT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_GSR_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_EVAP_ALL.csv,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_MAXUV_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_UV_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_MAXHKHI_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_MEANHKHI_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_PDIR_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_WET_ALL.csv
